possession_id,game_id,period,time_remaining,player_number,distance_m,angle_deg,defender_count,is_man_up,empty_net,shot_type,attack_type,shooter_handedness,y,xg_raw,xg
3_P0005,3,1,04:04,2,4.243,-45.0,2,0,0,standard,set,left,1,0.5228339582461713,0.525
3_P0006,3,2,06:13,5,4.123,14.04,1,0,0,tip/deflection,broken play,right,0,0.4366882215543166,0.42105263157894735
3_P0007,3,2,05:11,6,6.708,-26.57,2,0,0,standard,perimeter,right,0,0.3072146197975545,0.26666666666666666
3_P0008,3,2,05:09,6,5.0,0.0,0,0,0,standard,5m penalty,right,1,0.6726068777316289,0.7435897435897436
3_P0009,3,2,03:21,2,5.0,-53.13,1,0,0,skip,perimeter,left,1,0.36818881898344025,0.39473684210526316
3_P0010,3,3,06:36,7,5.385,68.2,1,0,0,standard,perimeter,right,0,0.36145229384817046,0.39473684210526316
3_P0011,3,3,05:48,10,5.831,59.04,1,0,0,standard,perimeter,right,0,0.3198933150634852,0.26666666666666666
3_P0014,3,3,04:24,4,3.606,33.69,1,1,0,standard,man-up,right,1,0.6178924220394638,0.5979125585106293
3_P0015,3,3,03:17,7,8.485,-45.0,0,0,0,standard,perimeter,right,0,0.2245090649737851,0.26666666666666666
3_P0016,3,3,02:37,7,5.385,68.2,0,0,0,skip,perimeter,right,1,0.48808111202140797,0.42105263157894735
3_P0017,3,4,06:09,4,3.162,71.57,1,0,0,tip/deflection,broken play,right,0,0.42574088251124437,0.39473684210526316
3_P0018,3,4,04:44,2,2.0,0.0,1,0,0,tip/deflection,set,left,0,0.6607121502282366,0.7435897435897436
3_P0020,3,4,03:23,4,7.0,0.0,1,0,0,standard,perimeter,right,0,0.3896196209602623,0.39473684210526316
4_P0001,4,1,,2,6.0,0.0,1,0,0,skip,perimeter,right,0,0.5259801034459499,0.525
4_P0002,4,1,,10,3.162,18.43,2,0,0,skip,set,right,1,0.6554585572886209,0.7435897435897436
4_P0004,4,1,,2,6.325,-18.43,1,1,0,skip,man-up,right,0,0.5069011769810085,0.525
4_P0005,4,1,,2,5.657,-45.0,2,0,0,skip,perimeter,right,0,0.30872128374205515,0.26666666666666666
4_P0006,4,1,,3,8.246,14.04,1,0,0,standard,perimeter,right,0,0.22227562400326406,0.26666666666666666
4_P0008,4,2,,10,4.0,0.0,2,0,0,standard,set,right,0,0.6377375716660774,0.625
4_P0009,4,2,,10,2.236,-26.57,1,0,0,standard,counter,right,0,0.7816727875913762,0.7435897435897436
4_P0012,4,2,,2,6.325,-18.43,1,0,0,skip,perimeter,right,1,0.3620681529311386,0.39473684210526316
4_P0014,4,3,,9,4.123,-14.04,0,0,0,standard,perimeter,right,0,0.543595375497093,0.525
4_P0015,4,3,,12,4.472,26.57,2,0,0,standard,set,right,0,0.4172648327739029,0.39473684210526316
4_P0017,4,3,,3,7.81,39.81,1,0,0,lob,perimeter,right,0,0.323953635693826,0.26666666666666666
4_P0018,4,3,,1,15.0,0.0,0,0,1,standard,other,right,0,0.02176094435963196,0.26666666666666666
4_P0020,4,4,,9,5.385,-68.2,1,0,0,standard,perimeter,right,1,0.3850818893609661,0.39473684210526316
4_P0021,4,4,,3,8.062,60.26,1,0,0,standard,perimeter,right,0,0.31265643160083045,0.26666666666666666
4_P0022,4,4,,5,6.708,-63.43,1,0,0,standard,perimeter,right,0,0.30142634995409806,0.26666666666666666
4_P0023,4,4,,3,6.0,0.0,1,0,0,standard,perimeter,right,0,0.37404686888069233,0.39473684210526316
4_P0024,4,4,,12,2.236,26.57,1,0,0,standard,broken play,right,0,0.6165475750049865,0.5401610330152657
4_P0025,4,4,,5,1.414,-45.0,1,0,0,other,broken play,right,1,0.7511493407923198,0.7435897435897436
5_P0002,5,,,15,6.708,-26.57,1,0,0,standard,perimeter,right,0,0.188660571752567,0.26666666666666666
5_P0010,5,,,15,9.22,-40.6,1,0,0,standard,perimeter,right,0,0.1430671181897023,0.26666666666666666
5_P0012,5,,,3,6.403,51.34,1,1,0,skip,man-up,right,0,0.4064034127802396,0.39473684210526316
5_P0014,5,,,15,3.162,-18.43,1,0,0,skip,counter,right,1,0.8536077451669358,1.0
5_P0016,5,,,5,7.0,0.0,1,0,0,standard,perimeter,right,0,0.28273177148857287,0.26666666666666666
5_P0017,5,,,15,6.708,-26.57,1,0,0,standard,perimeter,right,1,0.2809520536550244,0.26666666666666666
5_P0018,5,,,2,5.0,53.13,1,0,0,standard,counter,right,0,0.6577127064485417,0.7435897435897436
5_P0019,5,,,12,1.0,0.0,0,0,0,tip/deflection,broken play,right,1,0.6912972916142943,0.7435897435897436
5_P0020,5,,,12,7.211,33.69,0,0,0,standard,perimeter,right,0,0.3138375530092423,0.26666666666666666
5_P0023,5,,,5,6.0,0.0,1,0,0,skip,perimeter,right,1,0.4833486767386544,0.42105263157894735
6_P0001,6,1,,14,5.385,21.8,0,0,0,skip,broken play,right,0,0.5354203777646794,0.525
6_P0003,6,,,8,7.28,-15.95,1,0,0,standard,perimeter,right,0,0.3495003443650832,0.39473684210526316
6_P0004,6,,,8,4.472,63.43,1,1,0,skip,man-up,right,1,0.5375976130361433,0.525
6_P0005,6,,,8,2.828,45.0,1,0,0,standard,set,right,0,0.5652535886288105,0.525
6_P0006,6,,,8,7.0,0.0,1,0,0,skip,perimeter,right,0,0.37293643040904845,0.39473684210526316
6_P0009,6,,,10,3.0,0.0,1,0,0,skip,broken play,right,1,0.6705540537466207,0.7435897435897436
6_P0010,6,,,15,6.0,0.0,1,0,0,skip,perimeter,right,0,0.5426112657040276,0.525
6_P0013,6,,,11,9.22,12.53,1,0,0,skip,perimeter,right,1,0.3221104489301656,0.26666666666666666
6_P0016,6,,,12,7.211,-33.69,0,0,0,lob,perimeter,right,0,0.2653376051309184,0.26666666666666666
6_P0018,6,,,10,3.0,0.0,1,0,0,tip/deflection,set,right,0,0.5962294031759362,0.525
6_P0019,6,,,11,2.0,0.0,1,0,0,tip/deflection,broken play,right,1,0.6604647817012167,0.7435897435897436
6_P0020,6,,,11,5.385,-68.2,1,0,0,standard,perimeter,right,0,0.3523364347460182,0.39473684210526316
6_P0021,6,,,11,6.403,-38.66,1,0,0,standard,counter,right,0,0.5356776600397056,0.525
6_P0024,6,,,10,4.472,26.57,1,0,0,backhand,set,right,0,0.4776550530075064,0.42105263157894735
6_P0025,6,,,15,6.325,18.43,1,0,0,standard,perimeter,right,0,0.28689908914120693,0.26666666666666666
7_P0003,7,,,3,6.325,-71.57,1,0,0,standard,perimeter,left,1,0.3688126664209969,0.39473684210526316
7_P0004,7,,,11,7.616,23.2,1,0,0,lob,perimeter,right,0,0.3464662222080142,0.39473684210526316
7_P0008,7,,,2,6.325,71.57,1,0,0,standard,perimeter,right,0,0.2948761847821496,0.26666666666666666
7_P0009,7,,,6,4.472,-63.44,1,0,0,standard,counter,right,1,0.7508693519223899,0.7435897435897436
7_P0013,7,,,8,9.0,0.0,1,0,0,standard,broken play,right,0,0.23472770532627804,0.26666666666666666
7_P0014,7,,,2,2.828,-45.0,0,0,0,standard,broken play,right,0,0.5300426628776509,0.525
7_P0015,7,,,2,5.0,-53.13,1,0,0,standard,broken play,right,0,0.37404292332079475,0.39473684210526316
7_P0016,7,,,3,7.211,-33.69,1,0,0,lob,perimeter,left,0,0.30408073573683525,0.26666666666666666
7_P0017,7,,,10,4.472,-26.57,2,0,0,skip,set,right,1,0.5872538614119285,0.525
7_P0019,7,,,10,5.0,0.0,0,0,0,standard,5m penalty,right,1,0.6726069909211227,0.7435897435897436
7_P0021,7,,,11,6.083,-9.46,1,1,0,standard,man-up,right,1,0.448386737942914,0.42105263157894735
7_P0022,7,,,10,3.606,-33.69,2,0,0,skip,counter,right,1,0.6865365756976262,0.7435897435897436
7_P0023,7,,,10,3.162,18.43,1,0,0,backhand,set,right,1,0.5152920714785627,0.525
7_P0024,7,,,11,6.708,-26.57,0,1,0,standard,man-up,right,0,0.4420266523197405,0.42105263157894735
7_P0025,7,,,10,2.236,26.57,2,1,0,punch/volley,man-up,right,1,0.6853485009847784,0.7435897435897436
7_P0026,7,,,2,3.606,-33.69,1,0,0,skip,counter,right,0,0.7450912144527623,0.7435897435897436
7_P0027,7,,,6,7.071,-8.13,1,0,0,standard,perimeter,right,0,0.3098425304423161,0.26666666666666666
7_P0028,7,,,2,5.0,0.0,0,0,0,standard,5m penalty,right,1,0.6726069909211227,0.7435897435897436
7_P0029,7,,,10,5.0,0.0,0,0,0,standard,5m penalty,right,0,0.6726069909211227,0.7435897435897436
7_P0030,7,,,11,5.0,0.0,0,0,0,standard,5m penalty,right,1,0.6726069909211227,0.7435897435897436
7_P0031,7,,,7,5.0,0.0,0,0,0,skip,5m penalty,right,1,0.756080788008478,0.7435897435897436
7_P0032,7,,,15,5.0,0.0,0,0,0,skip,5m penalty,right,1,0.756080788008478,0.7435897435897436
8_P0001,8,1,,2,2.828,45.0,0,0,0,standard,counter,right,1,0.7565240304772962,0.7435897435897436
8_P0002,8,1,,13,2.828,-45.0,1,0,0,standard,counter,right,1,0.7776955639100797,0.7435897435897436
8_P0003,8,1,,2,2.828,45.0,0,0,0,standard,counter,right,1,0.7087179661218393,0.7435897435897436
8_P0004,8,1,,10,3.606,33.69,1,0,0,standard,counter,right,1,0.6565734196571451,0.7435897435897436
8_P0005,8,1,,15,2.828,45.0,0,0,0,standard,drive,right,0,0.4523678008624156,0.42105263157894735
8_P0006,8,1,,4,4.0,0.0,2,0,0,skip,counter,right,1,0.8504331375891697,1.0
8_P0007,8,1,,4,2.828,45.0,1,0,0,standard,drive,right,0,0.4726770646502076,0.42105263157894735
8_P0008,8,2,,4,2.828,45.0,1,0,0,standard,set,right,1,0.5376296890571703,0.525
8_P0009,8,2,,4,3.606,-33.69,2,0,0,standard,set,right,1,0.5837343166195404,0.525
8_P0010,8,2,,15,3.606,-33.69,1,0,0,standard,set,right,1,0.4842824933570173,0.42105263157894735
8_P0011,8,2,,4,2.828,-45.0,0,0,0,standard,counter,right,1,0.7618175644719131,0.7435897435897436
8_P0012,8,2,,8,4.243,-45.0,0,0,0,standard,set,right,1,0.3933539172967975,0.39473684210526316
8_P0013,8,2,,22,3.606,-33.69,1,0,0,lob,drive,right,1,0.5293044343387672,0.525
8_P0014,8,3,,20,2.0,0.0,1,0,0,standard,counter,right,1,0.8566432100128897,1.0
8_P0015,8,3,,8,3.162,18.43,0,0,0,skip,counter,right,1,0.8174942950753208,1.0
8_P0016,8,3,,20,3.0,0.0,1,0,0,standard,broken play,right,1,0.648117921998084,0.6432877297967102
8_P0017,8,3,,5,5.0,-53.13,1,0,0,lob,set,right,0,0.4997900653964757,0.525
8_P0018,8,3,,5,3.606,-33.69,0,0,0,standard,counter,right,1,0.6775021901374815,0.7435897435897436
8_P0019,8,4,,16,5.385,21.8,0,0,0,standard,broken play,right,0,0.42573257930222985,0.39473684210526316
8_P0020,8,4,,15,5.0,0.0,0,0,0,standard,5m penalty,right,1,0.6235146463120701,0.625
8_P0021,8,4,,13,3.162,71.56,1,0,0,standard,set,right,1,0.5302092077110705,0.525
8_P0022,8,4,,10,8.062,-7.13,1,0,0,standard,perimeter,right,0,0.2599502240670835,0.26666666666666666
8_P0023,8,4,,8,3.162,-71.56,1,0,0,lob,perimeter,right,0,0.452705216844502,0.42105263157894735
9_P0001,9,,,5,8.544,20.56,1,0,0,standard,perimeter,right,0,0.24181584189636704,0.26666666666666666
9_P0002,9,,,5,6.0,0.0,1,1,0,skip,man-up,right,1,0.48362489947531867,0.42105263157894735
9_P0003,9,,,15,3.606,56.31,1,0,0,standard,counter,right,1,0.7375379151025323,0.7435897435897436
9_P0004,9,,,14,5.657,45.0,1,0,0,standard,perimeter,right,0,0.2683269411514875,0.26666666666666666
9_P0005,9,,,15,4.243,-45.0,1,0,0,standard,drive,right,0,0.345071045697367,0.39473684210526316
9_P0006,9,,,5,5.099,11.31,1,1,0,standard,man-up,right,0,0.5574016556149266,0.525
9_P0007,9,,,3,6.403,-51.34,1,0,0,skip,perimeter,right,0,0.3595518179727922,0.39473684210526316
