possession_id,game_id,distance_bin_model,opponent_team_level,xg_raw,xg_cal,xg
5_P0016,5,Unknown,Unknown,0.3319388773385241,0.2952719503053679,0.2952719503053685
5_P0017,5,Unknown,Unknown,0.3298599500967827,0.2720214510297049,0.27202145102970554
5_P0018,5,Unknown,Unknown,0.7033933045396938,0.631578947368421,0.631578947368421
5_P0019,5,Unknown,Unknown,0.6674696370041013,0.631578947368421,0.631578947368421
5_P0020,5,Unknown,Unknown,0.3274527038098968,0.25,0.25
5_P0023,5,Unknown,Unknown,0.5340945598751569,0.4705882352941176,0.47058823529411764
6_P0001,6,Unknown,Unknown,0.5876197500534428,0.5263157894736842,0.5263157894736842
6_P0003,6,Unknown,Unknown,0.4418243399061108,0.4285714285714285,0.42857142857142855
6_P0004,6,Unknown,Unknown,0.6068487612398027,0.5263157894736842,0.5263157894736842
6_P0005,6,Unknown,Unknown,0.651280932921595,0.631578947368421,0.631578947368421
6_P0006,6,Unknown,Unknown,0.4543277895556977,0.4285714285714285,0.42857142857142855
6_P0009,6,Unknown,Unknown,0.70906692743593,0.631578947368421,0.631578947368421
6_P0010,6,Unknown,Unknown,0.6120637186633152,0.5263157894736842,0.5263157894736842
6_P0013,6,Unknown,Unknown,0.4188113389136687,0.375,0.375
6_P0016,6,Unknown,Unknown,0.3376605967436286,0.3592630463922587,0.3592630463922587
6_P0018,6,Unknown,Unknown,0.6378251638441463,0.631578947368421,0.631578947368421
6_P0019,6,Unknown,Unknown,0.6833810979840138,0.631578947368421,0.631578947368421
6_P0020,6,Unknown,Unknown,0.3962705825263024,0.375,0.375
6_P0021,6,Unknown,Unknown,0.6266552580250743,0.631578947368421,0.631578947368421
6_P0024,6,Unknown,Unknown,0.544846881974149,0.4705882352941176,0.47058823529411764
6_P0025,6,Unknown,Unknown,0.3321053499930146,0.2971337626165128,0.29713376261651353
7_P0003,7,Unknown,Unknown,0.4033678128956339,0.375,0.375
7_P0004,7,Unknown,Unknown,0.3878377355519093,0.3684210526315789,0.3684210526315789
7_P0008,7,Unknown,Unknown,0.264979840186935,0.25,0.25
7_P0009,7,Unknown,Unknown,0.7884903884012795,0.8181818181818182,0.8181818181818182
7_P0013,7,Unknown,Unknown,0.2779253276902306,0.25,0.25
7_P0014,7,Unknown,Unknown,0.5025116151213358,0.4285714285714285,0.42857142857142855
7_P0015,7,Unknown,Unknown,0.3916189798151829,0.3684210526315789,0.3684210526315789
7_P0016,7,Unknown,Unknown,0.347115583037288,0.3684210526315789,0.3684210526315789
7_P0017,7,Unknown,Unknown,0.6182715686349902,0.5263157894736842,0.5263157894736842
7_P0019,7,Unknown,Unknown,0.6606168211558424,0.631578947368421,0.631578947368421
7_P0021,7,Unknown,Unknown,0.4879598164598202,0.4285714285714285,0.42857142857142855
7_P0022,7,Unknown,Unknown,0.7134189299915379,0.631578947368421,0.631578947368421
7_P0023,7,Unknown,Unknown,0.529646527664004,0.4705882352941176,0.47058823529411764
7_P0024,7,Unknown,Unknown,0.4786172833361427,0.4285714285714285,0.42857142857142855
7_P0025,7,Unknown,Unknown,0.6931758364293706,0.631578947368421,0.631578947368421
7_P0026,7,Unknown,Unknown,0.7596590644563114,0.8181818181818182,0.8181818181818182
7_P0027,7,Unknown,Unknown,0.3505010560308166,0.3684210526315789,0.3684210526315789
7_P0028,7,Unknown,Unknown,0.6606168211558424,0.631578947368421,0.631578947368421
7_P0029,7,Unknown,Unknown,0.6606168211558424,0.631578947368421,0.631578947368421
7_P0030,7,Unknown,Unknown,0.6606168211558424,0.631578947368421,0.631578947368421
7_P0031,7,Unknown,Unknown,0.7551153909719961,0.8181818181818182,0.8181818181818182
7_P0032,7,Unknown,Unknown,0.7551153909719961,0.8181818181818182,0.8181818181818182
8_P0001,8,Unknown,Unknown,0.8018761104125505,0.8181818181818182,0.8181818181818182
8_P0002,8,Unknown,Unknown,0.8026289690238112,0.8181818181818182,0.8181818181818182
8_P0003,8,Unknown,Unknown,0.7638202593641513,0.8181818181818182,0.8181818181818182
8_P0004,8,Unknown,Unknown,0.6988093775225068,0.631578947368421,0.631578947368421
8_P0005,8,Unknown,Unknown,0.5210140170985409,0.4285714285714285,0.42857142857142855
8_P0006,8,Unknown,Unknown,0.8869655622804246,1.0,1.0
8_P0007,8,Unknown,Unknown,0.5375239746694889,0.4705882352941176,0.47058823529411764
8_P0008,8,Unknown,Unknown,0.6087769705513674,0.5263157894736842,0.5263157894736842
8_P0009,8,Unknown,Unknown,0.6317016671463296,0.631578947368421,0.631578947368421
8_P0010,8,Unknown,Unknown,0.5218266656900866,0.4285714285714285,0.42857142857142855
8_P0011,8,Unknown,Unknown,0.7782898399522998,0.8181818181818182,0.8181818181818182
8_P0012,8,Unknown,Unknown,0.4291865125952276,0.375,0.375
8_P0013,8,Unknown,Unknown,0.5769511574140062,0.5,0.5
8_P0014,8,Unknown,Unknown,0.871896388767638,1.0,1.0
8_P0015,8,Unknown,Unknown,0.8477962031545909,1.0,1.0
8_P0016,8,Unknown,Unknown,0.6760986543246756,0.631578947368421,0.631578947368421
8_P0017,8,Unknown,Unknown,0.5789831486270637,0.5,0.5
8_P0018,8,Unknown,Unknown,0.7108853406193775,0.631578947368421,0.631578947368421
8_P0019,8,Unknown,Unknown,0.4586616576361976,0.4285714285714285,0.42857142857142855
8_P0020,8,Unknown,Unknown,0.635385204245733,0.631578947368421,0.631578947368421
8_P0021,8,Unknown,Unknown,0.6202360863114463,0.5263157894736842,0.5263157894736842
8_P0022,8,Unknown,Unknown,0.3238257149787011,0.25,0.25
8_P0023,8,Unknown,Unknown,0.5003128114528845,0.4285714285714285,0.42857142857142855
9_P0001,9,Unknown,Unknown,0.1594402823084723,0.25,0.25
9_P0002,9,Unknown,Unknown,0.3785672893656025,0.3684210526315789,0.3684210526315789
9_P0003,9,Unknown,Unknown,0.6614560684386838,0.631578947368421,0.631578947368421
9_P0004,9,Unknown,Unknown,0.1576011210846782,0.25,0.25
9_P0005,9,Unknown,Unknown,0.2299795812746759,0.25,0.25
9_P0006,9,Unknown,Unknown,0.4356902363033556,0.4285714285714285,0.42857142857142855
9_P0007,9,Unknown,Unknown,0.2678797124314928,0.25,0.25
