possession_id,game_id,video_file,video_timestamp_mmss,xg
4_P0009,4,IMG_2613.MOV,00:15,0.6842105263157895
4_P0012,4,IMG_2618.MOV,00:19,0.38235294117647056
4_P0014,4,IMG_2622.MOV,00:43,0.515625
4_P0015,4,IMG_2624.MOV,00:28,0.38235294117647056
4_P0017,4,IMG_2626.MOV,00:45,0.2
4_P0018,4,IMG_2628.MOV,00:14,0.2
4_P0020,4,IMG_2633.MOV,00:23,0.38235294117647056
4_P0021,4,IMG_2635.MOV,00:19,0.2
4_P0022,4,IMG_2636.MOV,00:37,0.3333333333333333
4_P0023,4,IMG_2638.MOV,00:31,0.38235294117647056
4_P0024,4,IMG_2638.MOV,00:34,0.515625
4_P0025,4,IMG_2638.MOV,00:35,0.6842105263157895
5_P0002,5,IMG_2645.MOV,00:31,0.3333333333333333
5_P0010,5,IMG_2658.MOV,00:45,0.16666666666666666
5_P0012,5,IMG_2663.MOV,00:55,0.515625
5_P0014,5,IMG_2667.MOV,00:09,0.782608695652174
5_P0016,5,IMG_2675.MOV,00:36,0.2
5_P0017,5,IMG_2677.MOV,00:20,0.2
5_P0018,5,IMG_2678.MOV,00:42,0.38235294117647056
5_P0019,5,IMG_2678.MOV,00:44,0.6
5_P0020,5,IMG_2680.MOV,00:18,0.2
5_P0023,5,IMG_2687.MOV,00:26,0.38235294117647056
6_P0001,6,IMG_4559.MOV,00:52,0.44928300225007506
6_P0003,6,IMG_4561.MOV,00:54,0.3888888888888889
6_P0004,6,IMG_4564.MOV,00:50,0.5
6_P0005,6,IMG_4566.MOV,00:34,0.3888888888888889
6_P0006,6,IMG_4567.MOV,00:35,0.3888888888888889
6_P0009,6,IMG_4571.MOV,00:36,0.5
6_P0010,6,IMG_4572.MOV,00:55,0.3888888888888889
6_P0013,6,IMG_4581.MOV,00:30,0.0
6_P0016,6,IMG_4587.MOV,00:22,0.0
6_P0018,6,IMG_4588.MOV,00:33,0.5
6_P0019,6,IMG_4590.MOV,00:05,0.5
6_P0020,6,IMG_4592.MOV,00:21,0.3888888888888889
6_P0021,6,IMG_4594.MOV,00:11,0.3665746514397092
6_P0024,6,IMG_4600.MOV,00:18,0.3888888888888889
6_P0025,6,IMG_4611.MOV,00:23,0.3888888888888889
7_P0003,7,IMG_5620.MOV,00:33,0.5
7_P0004,7,IMG_5622.MOV,00:21,0.3888888888888889
7_P0008,7,IMG_5634.MOV,00:45,0.3888888888888889
7_P0009,7,IMG_5635.MOV,00:26,0.6
7_P0013,7,IMG_5645.MOV,00:29,0.0
7_P0014,7,IMG_5652.MOV,00:13,0.6
7_P0015,7,IMG_5652.MOV,00:45,0.3888888888888889
7_P0016,7,IMG_5656.MOV,00:17,0.5
7_P0017,7,IMG_5658.MOV,00:23,0.6
7_P0019,7,IMG_5660.MOV,00:05,0.6
7_P0021,7,IMG_5662.MOV,00:34,0.5
7_P0022,7,IMG_5667.MOV,00:13,0.5
7_P0023,7,IMG_5669.MOV,00:24,0.5
7_P0024,7,IMG_5671.MOV,00:26,0.3888888888888889
7_P0025,7,IMG_5673.MOV,00:26,0.6
7_P0026,7,IMG_5675.MOV,00:24,0.5
7_P0027,7,IMG_5676.MOV,00:29,0.3888888888888889
7_P0028,7,IMG_5678.MOV,00:04,0.5
7_P0029,7,IMG_5680.MOV,00:05,0.5
7_P0030,7,IMG_5682.MOV,00:02,0.5
7_P0031,7,IMG_5684.MOV,00:09,0.5
7_P0032,7,IMG_5686.MOV,00:05,0.5
8_P0001,8,IMG_3689.MOV,00:34,0.856805892739621
8_P0002,8,IMG_3692.MOV,00:15,0.782608695652174
8_P0003,8,IMG_3694.MOV,00:27,0.782608695652174
8_P0004,8,IMG_3695.MOV,00:48,0.515625
8_P0005,8,IMG_3696.MOV,00:51,0.515625
8_P0006,8,IMG_3697.MOV,00:36,0.782608695652174
8_P0007,8,IMG_3698.MOV,00:36,0.515625
8_P0008,8,IMG_3700.MOV,00:26,0.6842105263157895
8_P0009,8,IMG_3702.MOV,00:40,0.515625
8_P0010,8,IMG_3704.MOV,00:19,0.515625
8_P0011,8,IMG_3706.MOV,00:41,0.782608695652174
8_P0012,8,IMG_3707.MOV,00:59,0.515625
8_P0013,8,IMG_3709.MOV,00:11,0.515625
8_P0014,8,IMG_3713.MOV,00:25,0.782608695652174
8_P0015,8,IMG_3714.MOV,00:24,0.782608695652174
8_P0016,8,IMG_3716.MOV,00:23,0.515625
8_P0017,8,IMG_3717.MOV,00:54,0.4
8_P0018,8,IMG_3719.MOV,00:27,0.6842105263157895
8_P0019,8,IMG_3726.MOV,00:12,0.4
8_P0020,8,IMG_3730.MOV,00:05,0.6970963095808543
8_P0021,8,IMG_3731.MOV,00:31,0.515625
8_P0022,8,IMG_3733.MOV,00:13,0.30994865891000367
8_P0023,8,IMG_3734.MOV,00:44,0.515625
9_P0001,9,IMG_1525.MOV,00:24,0.2
9_P0002,9,IMG_1531.MOV,00:45,0.4
9_P0003,9,IMG_1540.MOV,00:06,0.515625
9_P0004,9,IMG_1543.MOV,01:10,0.2
9_P0005,9,IMG_1552.MOV,00:34,0.2
9_P0006,9,IMG_1553.MOV,00:45,0.3333333333333333
9_P0007,9,IMG_1555.MOV,00:15,0.38235294117647056
