game_id,possession_id,video_file,context,t_s,frame_path
2,2_P0003,IMG_6119.MOV,t0,8.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\2-2-p0003-q1-n3-skip_t0.jpg
2,2_P0003,IMG_6119.MOV,tp,10.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\2-2-p0003-q1-n3-skip_tp.jpg
2,2_P0004,IMG_6123.MOV,tm,3.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\2-2-p0004-q1-n4-lob_tm.jpg
2,2_P0004,IMG_6123.MOV,t0,5.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\2-2-p0004-q1-n4-lob_t0.jpg
2,2_P0004,IMG_6123.MOV,tp,7.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\2-2-p0004-q1-n4-lob_tp.jpg
2,2_P0005,IMG_6125.MOV,tm,41.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\2-2-p0005-q1-n4-standard_tm.jpg
2,2_P0005,IMG_6125.MOV,t0,43.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\2-2-p0005-q1-n4-standard_t0.jpg
2,2_P0005,IMG_6125.MOV,tp,45.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\2-2-p0005-q1-n4-standard_tp.jpg
2,2_P0006,IMG_6127.MOV,tm,4.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\2-2-p0006-q1-n7-lob_tm.jpg
2,2_P0006,IMG_6127.MOV,t0,6.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\2-2-p0006-q1-n7-lob_t0.jpg
2,2_P0006,IMG_6127.MOV,tp,8.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\2-2-p0006-q1-n7-lob_tp.jpg
2,2_P0007,IMG_6128.MOV,tm,20.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\2-2-p0007-q2-n6-skip_tm.jpg
2,2_P0007,IMG_6128.MOV,t0,22.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\2-2-p0007-q2-n6-skip_t0.jpg
2,2_P0007,IMG_6128.MOV,tp,24.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\2-2-p0007-q2-n6-skip_tp.jpg
2,2_P0008,IMG_6128.MOV,tm,9.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\2-2-p0008-q2-nnan-nan_tm.jpg
2,2_P0008,IMG_6128.MOV,t0,11.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\2-2-p0008-q2-nnan-nan_t0.jpg
2,2_P0008,IMG_6128.MOV,tp,13.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\2-2-p0008-q2-nnan-nan_tp.jpg
2,2_P0009,IMG_6130.MOV,tm,33.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\2-2-p0009-q2-n6-lob_tm.jpg
2,2_P0009,IMG_6130.MOV,t0,35.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\2-2-p0009-q2-n6-lob_t0.jpg
2,2_P0009,IMG_6130.MOV,tp,37.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\2-2-p0009-q2-n6-lob_tp.jpg
2,2_P0010,IMG_6132.MOV,tm,3.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\2-2-p0010-q2-n3-lob_tm.jpg
2,2_P0010,IMG_6132.MOV,t0,5.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\2-2-p0010-q2-n3-lob_t0.jpg
2,2_P0010,IMG_6132.MOV,tp,7.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\2-2-p0010-q2-n3-lob_tp.jpg
2,2_P0011,IMG_6134.MOV,tm,4.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\2-2-p0011-q2-nnan-nan_tm.jpg
2,2_P0011,IMG_6134.MOV,t0,6.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\2-2-p0011-q2-nnan-nan_t0.jpg
2,2_P0011,IMG_6134.MOV,tp,8.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\2-2-p0011-q2-nnan-nan_tp.jpg
2,2_P0012,IMG_6136.MOV,tm,9.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\2-2-p0012-q2-n7-standard_tm.jpg
2,2_P0012,IMG_6136.MOV,t0,11.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\2-2-p0012-q2-n7-standard_t0.jpg
2,2_P0012,IMG_6136.MOV,tp,13.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\2-2-p0012-q2-n7-standard_tp.jpg
2,2_P0013,IMG_6137.MOV,tm,29.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\2-2-p0013-q3-n7-standard_tm.jpg
2,2_P0013,IMG_6137.MOV,t0,31.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\2-2-p0013-q3-n7-standard_t0.jpg
2,2_P0013,IMG_6137.MOV,tp,33.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\2-2-p0013-q3-n7-standard_tp.jpg
2,2_P0014,IMG_6139.MOV,tm,19.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\2-2-p0014-q3-n5-standard_tm.jpg
2,2_P0014,IMG_6139.MOV,t0,21.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\2-2-p0014-q3-n5-standard_t0.jpg
2,2_P0014,IMG_6139.MOV,tp,23.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\2-2-p0014-q3-n5-standard_tp.jpg
2,2_P0015,IMG_6139.MOV,tm,35.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\2-2-p0015-q3-nnan-nan_tm.jpg
2,2_P0015,IMG_6139.MOV,t0,37.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\2-2-p0015-q3-nnan-nan_t0.jpg
2,2_P0015,IMG_6139.MOV,tp,39.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\2-2-p0015-q3-nnan-nan_tp.jpg
2,2_P0016,IMG_6140.MOV,tm,10.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\2-2-p0016-q3-nnan-nan_tm.jpg
2,2_P0016,IMG_6140.MOV,t0,12.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\2-2-p0016-q3-nnan-nan_t0.jpg
2,2_P0016,IMG_6140.MOV,tp,14.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\2-2-p0016-q3-nnan-nan_tp.jpg
2,2_P0017,IMG_6141.MOV,tm,18.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\2-2-p0017-q3-n4-standard_tm.jpg
2,2_P0017,IMG_6141.MOV,t0,20.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\2-2-p0017-q3-n4-standard_t0.jpg
2,2_P0017,IMG_6141.MOV,tp,22.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\2-2-p0017-q3-n4-standard_tp.jpg
2,2_P0018,IMG_6142.MOV,tm,29.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\2-2-p0018-q3-n7-standard_tm.jpg
2,2_P0018,IMG_6142.MOV,t0,31.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\2-2-p0018-q3-n7-standard_t0.jpg
2,2_P0018,IMG_6142.MOV,tp,33.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\2-2-p0018-q3-n7-standard_tp.jpg
2,2_P0019,IMG_6143.MOV,tm,12.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\2-2-p0019-q4-n12-lob_tm.jpg
2,2_P0019,IMG_6143.MOV,t0,14.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\2-2-p0019-q4-n12-lob_t0.jpg
2,2_P0019,IMG_6143.MOV,tp,16.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\2-2-p0019-q4-n12-lob_tp.jpg
2,2_P0020,IMG_6144.MOV,tm,30.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\2-2-p0020-q4-n3-standard_tm.jpg
2,2_P0020,IMG_6144.MOV,t0,32.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\2-2-p0020-q4-n3-standard_t0.jpg
2,2_P0020,IMG_6144.MOV,tp,34.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\2-2-p0020-q4-n3-standard_tp.jpg
2,2_P0021,IMG_6145.MOV,tm,7.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\2-2-p0021-q4-nnan-nan_tm.jpg
2,2_P0021,IMG_6145.MOV,t0,9.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\2-2-p0021-q4-nnan-nan_t0.jpg
2,2_P0021,IMG_6145.MOV,tp,11.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\2-2-p0021-q4-nnan-nan_tp.jpg
2,2_P0022,IMG_6146.MOV,tm,33.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\2-2-p0022-q4-n5-standard_tm.jpg
2,2_P0022,IMG_6146.MOV,t0,35.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\2-2-p0022-q4-n5-standard_t0.jpg
2,2_P0022,IMG_6146.MOV,tp,37.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\2-2-p0022-q4-n5-standard_tp.jpg
2,2_P0023,IMG_6149.MOV,tm,9.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\2-2-p0023-q4-nnan-nan_tm.jpg
2,2_P0023,IMG_6149.MOV,t0,11.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\2-2-p0023-q4-nnan-nan_t0.jpg
2,2_P0023,IMG_6149.MOV,tp,13.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\2-2-p0023-q4-nnan-nan_tp.jpg
3,3_P0001,IMG_0157.MOV,tm,25.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\3-3-p0001-q1-n4-standard_tm.jpg
3,3_P0001,IMG_0157.MOV,t0,27.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\3-3-p0001-q1-n4-standard_t0.jpg
3,3_P0001,IMG_0157.MOV,tp,29.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\3-3-p0001-q1-n4-standard_tp.jpg
3,3_P0002,IMG_0159.MOV,tm,0.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\3-3-p0002-q1-n6-standard_tm.jpg
3,3_P0002,IMG_0159.MOV,t0,2.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\3-3-p0002-q1-n6-standard_t0.jpg
3,3_P0002,IMG_0159.MOV,tp,4.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\3-3-p0002-q1-n6-standard_tp.jpg
3,3_P0003,IMG_0163.MOV,tm,1.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\3-3-p0003-q1-nnan-nan_tm.jpg
3,3_P0003,IMG_0163.MOV,t0,3.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\3-3-p0003-q1-nnan-nan_t0.jpg
3,3_P0003,IMG_0163.MOV,tp,5.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\3-3-p0003-q1-nnan-nan_tp.jpg
3,3_P0004,IMG_0165.MOV,tm,19.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\3-3-p0004-q1-n4-standard_tm.jpg
3,3_P0004,IMG_0165.MOV,t0,21.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\3-3-p0004-q1-n4-standard_t0.jpg
