possession_id,game_id,our_team_name,opponent_team_name,our_team_level,opponent_team_level,period,time_remaining,man_state,event_type,turnover_type,turnover_player_number,drawn_by_player_number,shooter_x,shooter_y,defender_count,goalie_present,goalie_distance_m,goalie_lateral,possession_passes,attack_type,shot_type,shot_result,shooter_handedness,player_number,video_file,video_timestamp_mmss
5_P0022,5,usa_academy,air_force,ODP Academy,College,,,6v6,turnover,steal/interception,12,,,,,,,,5,,,,,,IMG_2685.MOV,00:32
5_P0023,5,usa_academy,air_force,ODP Academy,College,,,6v6,shot,,,,0.5,0.4,1,true,0,center,5,perimeter,skip,goal,right,5,IMG_2687.MOV,00:26
6_P0001,6,carlsbad,ca_1,CA Club,CA Club,1,,6v6,shot,,,,0.6,0.3333333333,0,true,1,right,0,broken play,skip,blocked (GK),right,14,IMG_4559.MOV,00:52
6_P0002,6,carlsbad,ca_1,CA Club,CA Club,,,6v6,turnover,steal/interception,9,,,,,,,,3,,,,,,IMG_4560.MOV,00:17
6_P0003,6,carlsbad,ca_1,CA Club,CA Club,,,6v6,shot,,,,0.4,0.4666666667,1,true,0,center,2,perimeter,standard,blocked (GK),right,8,IMG_4561.MOV,00:54
6_P0004,6,carlsbad,ca_1,CA Club,CA Club,,,6v5,shot,,,,0.7,0.1333333333,1,true,0.5,right,7,man-up,skip,goal,right,8,IMG_4564.MOV,00:50
6_P0005,6,carlsbad,ca_1,CA Club,CA Club,,,6v6,shot,,,,0.6,0.1333333333,1,true,0.5,center,5,set,standard,blocked (GK),right,8,IMG_4566.MOV,00:34
6_P0006,6,carlsbad,ca_1,CA Club,CA Club,,,6v6,shot,,,,0.5,0.4666666667,1,true,1,center,6,perimeter,skip,post/bar,right,8,IMG_4567.MOV,00:35
6_P0007,6,carlsbad,ca_1,CA Club,CA Club,,,6v6,turnover,steal/interception,15,,,,,,,,1,,,,,,IMG_4567.MOV,00:44
6_P0008,6,carlsbad,ca_1,CA Club,CA Club,,,6v6,turnover,steal/interception,11,,,,,,,,3,,,,,,IMG_4570_1.MOV,00:18
