possession_id,game_id,period,time_remaining,man_state,is_man_up,empty_net,shooter_x,shooter_y,distance_m,angle_deg,defender_count,goalie_distance_m,goalie_lateral,attack_type,shot_type,shooter_handedness,player_number,possession_passes,shot_result,video_file,video_timestamp_mmss,distance_bin_model,dist_x_manup_model,dist_x_defbin_model
4_P0005,4,1,,6v6,False,False,0.3,0.2666666667,5.657,-45.0,2,0.5,left,perimeter,skip,right,2,8,field block,IMG_2606.MOV,00:21,4-6,4-6|MU0,4-6|2
4_P0006,4,1,,6v6,False,False,0.6,0.5333333333,8.246,14.04,1,0.5,right,perimeter,standard,right,3,4,field block,IMG_2608.MOV,00:31,8-10,8-10|MU0,8-10|1
4_P0008,4,2,,6v6,False,False,0.5,0.2666666667,4.0,0.0,2,0.5,center,set,standard,right,10,2,post/bar,IMG_2612.MOV,00:16,2-4,2-4|MU0,2-4|2
4_P0009,4,2,,6v6,False,False,0.45,0.1333333333,2.236,-26.57,1,1.0,left,counter,standard,right,10,1,blocked (GK),IMG_2613.MOV,00:15,2-4,2-4|MU0,2-4|1
4_P0012,4,2,,6v6,False,False,0.4,0.4,6.325,-18.43,1,0.5,left,perimeter,skip,right,2,4,goal,IMG_2618.MOV,00:19,6-8,6-8|MU0,6-8|1
4_P0014,4,3,,6v6,False,False,0.45,0.2666666667,4.123,-14.04,0,0.5,center,perimeter,standard,right,9,3,post/bar,IMG_2622.MOV,00:43,4-6,4-6|MU0,4-6|0
4_P0015,4,3,,6v6,False,False,0.6,0.2666666667,4.472,26.57,2,0.5,right,set,standard,right,12,6,field block,IMG_2624.MOV,00:28,4-6,4-6|MU0,4-6|2
4_P0017,4,3,,6v6,False,False,0.75,0.4,7.81,39.81,1,0.5,right,perimeter,lob,right,3,1,post/bar,IMG_2626.MOV,00:45,6-8,6-8|MU0,6-8|1
4_P0018,4,3,,6v7,False,True,0.5,1.0,15.0,0.0,0,,,other,standard,right,1,0,goals,IMG_2628.MOV,00:14,10-15,10-15|MU0,10-15|0
4_P0020,4,4,,6v6,False,False,0.25,0.1333333333,5.385,-68.2,1,0.0,left,perimeter,standard,right,9,3,goal,IMG_2633.MOV,00:23,4-6,4-6|MU0,4-6|1
4_P0021,4,4,,6v6,False,False,0.85,0.2666666667,8.062,60.26,1,0.5,center,perimeter,standard,right,3,4,field block,IMG_2635.MOV,00:19,8-10,8-10|MU0,8-10|1
4_P0022,4,4,,6v6,False,False,0.2,0.2,6.708,-63.43,1,0.5,center,perimeter,standard,right,5,6,missed,IMG_2636.MOV,00:37,6-8,6-8|MU0,6-8|1
4_P0023,4,4,,6v6,False,False,0.5,0.4,6.0,0.0,1,0.5,center,perimeter,standard,right,3,5,blocked (GK),IMG_2638.MOV,00:31,4-6,4-6|MU0,4-6|1
4_P0024,4,4,,6v6,False,False,0.55,0.1333333333,2.236,26.57,1,0.5,right,broken play,standard,right,12,0,blocked (GK),IMG_2638.MOV,00:34,2-4,2-4|MU0,2-4|1
4_P0025,4,4,,6v6,False,False,0.45,0.06666666667,1.414,-45.0,1,0.5,right,broken play,other,right,5,0,goal,IMG_2638.MOV,00:35,0-2,0-2|MU0,0-2|1
5_P0002,5,,,6v6,False,False,0.35,0.4,6.708,-26.57,1,1.0,left,perimeter,standard,right,15,7,missed,IMG_2645.MOV,00:31,6-8,6-8|MU0,6-8|1
5_P0010,5,,,6v6,False,False,0.2,0.4666666667,9.22,-40.6,1,1.0,left,perimeter,standard,right,15,3,blocked (GK),IMG_2658.MOV,00:45,8-10,8-10|MU0,8-10|1
5_P0012,5,,,6v5,True,False,0.75,0.2666666667,6.403,51.34,1,0.5,right,man-up,skip,right,3,9,post/bar,IMG_2663.MOV,00:55,6-8,6-8|MU1,6-8|1
5_P0014,5,,,6v6,False,False,0.45,0.2,3.162,-18.43,1,1.5,center,counter,skip,right,15,1,goal,IMG_2667.MOV,00:09,2-4,2-4|MU0,2-4|1
5_P0016,5,,,6v6,False,False,0.5,0.4666666667,7.0,0.0,1,1.0,center,perimeter,standard,right,5,6,blocked (GK),IMG_2675.MOV,00:36,6-8,6-8|MU0,6-8|1
5_P0017,5,,,6v6,False,False,0.35,0.4,6.708,-26.57,1,1.0,left,perimeter,standard,right,15,2,goal,IMG_2677.MOV,00:20,6-8,6-8|MU0,6-8|1
5_P0018,5,,,6v6,False,False,0.7,0.2,5.0,53.13,1,1.0,right,counter,standard,right,2,0,blocked (GK),IMG_2678.MOV,00:42,4-6,4-6|MU0,4-6|1
5_P0019,5,,,6v6,False,False,0.5,0.06666666667,1.0,0.0,0,1.0,right,broken play,tip/deflection,right,12,0,goal,IMG_2678.MOV,00:44,0-2,0-2|MU0,0-2|0
5_P0020,5,,,6v6,False,False,0.7,0.4,7.211,33.69,0,1.0,right,perimeter,standard,right,12,2,blocked,IMG_2680.MOV,00:18,6-8,6-8|MU0,6-8|0
5_P0023,5,,,6v6,False,False,0.5,0.4,6.0,0.0,1,0.0,center,perimeter,skip,right,5,5,goal,IMG_2687.MOV,00:26,4-6,4-6|MU0,4-6|1
6_P0001,6,1,,6v6,False,False,0.6,0.3333333333,5.385,21.8,0,1.0,right,broken play,skip,right,14,0,blocked (GK),IMG_4559.MOV,00:52,4-6,4-6|MU0,4-6|0
6_P0003,6,,,6v6,False,False,0.4,0.4666666667,7.28,-15.95,1,0.0,center,perimeter,standard,right,8,2,blocked (GK),IMG_4561.MOV,00:54,6-8,6-8|MU0,6-8|1
6_P0004,6,,,6v5,True,False,0.7,0.1333333333,4.472,63.43,1,0.5,right,man-up,skip,right,8,7,goal,IMG_4564.MOV,00:50,4-6,4-6|MU1,4-6|1
