possession_id,game_id,our_team_name,opponent_team_name,our_team_level,opponent_team_level,period,time_remaining,man_state,event_type,turnover_type,turnover_player_number,drawn_by_player_number,shooter_x,shooter_y,defender_count,goalie_present,goalie_distance_m,goalie_lateral,possession_passes,attack_type,shot_type,shot_result,shooter_handedness,player_number,video_file,video_timestamp_mmss
5_P0005,5,usa_academy,air_force,ODP Academy,College,,,,turnover,steal/interception,5.0,,,,,,,,3,,,,,,IMG_2650.MOV,00:25
5_P0006,5,usa_academy,air_force,ODP Academy,College,,,,turnover,bad pass / out of bounds,11.0,,,,,,,,2,,,,,,IMG_2652.MOV,00:18
5_P0007,5,usa_academy,air_force,ODP Academy,College,,,,turnover,steal/interception,3.0,,,,,,,,1,,,,,,IMG_2654.MOV,00:11
5_P0008,5,usa_academy,air_force,ODP Academy,College,,,,turnover,steal/interception,3.0,,,,,,,,2,,,,,,IMG_2655.MOV,00:18
5_P0009,5,usa_academy,air_force,ODP Academy,College,,,,turnover,steal/interception,9.0,,,,,,,,2,,,,,,IMG_2655.MOV,00:57
5_P0010,5,usa_academy,air_force,ODP Academy,College,,,,shot,,,,0.2,0.4666666666666667,1.0,,1.0,left,3,perimeter,standard,blocked (GK),,15.0,IMG_2658.MOV,00:45
5_P0011,5,usa_academy,air_force,ODP Academy,College,,,,turnover,steal/interception,9.0,,,,,,,,1,,,,,,IMG_2659.MOV,00:37
5_P0012,5,usa_academy,air_force,ODP Academy,College,,,,shot,,,,0.75,0.2666666666666666,1.0,,0.5,right,9,man-up (6v5),skip,post/bar,,3.0,IMG_2663.MOV,00:55
5_P0013,5,usa_academy,air_force,ODP Academy,College,,,,turnover,steal/interception,15.0,,,,,,,,3,,,,,,IMG_2666.MOV,00:20
5_P0014,5,usa_academy,air_force,ODP Academy,College,,,,shot,,,,0.45,0.2,1.0,,1.5,center,1,counter,skip,goal,,15.0,IMG_2667.MOV,00:09
5_P0015,5,usa_academy,air_force,ODP Academy,College,,,,turnover,offensive foul (contra),12.0,,,,,,,,10,,,,,,IMG_2669.MOV,00:33
5_P0016,5,usa_academy,air_force,ODP Academy,College,,,,shot,,,,0.5,0.4666666666666667,1.0,,1.0,center,6,perimeter,standard,blocked (GK),,5.0,IMG_2675.MOV,00:36
5_P0017,5,usa_academy,air_force,ODP Academy,College,,,,shot,,,,0.35,0.4,1.0,,1.0,left,2,perimeter,standard,goal,,15.0,IMG_2677.MOV,00:20
5_P0018,5,usa_academy,air_force,ODP Academy,College,,,,shot,,,,0.7,0.2,1.0,,1.0,right,0,counter,standard,blocked (GK),,2.0,IMG_2678.MOV,00:42
5_P0019,5,usa_academy,air_force,ODP Academy,College,,,,shot,,,,0.5,0.0666666666666666,0.0,,1.0,right,0,broken play,tip/deflection,goal,,12.0,IMG_2678.MOV,00:44
5_P0020,5,usa_academy,air_force,ODP Academy,College,,,,shot,,,,0.7,0.4,0.0,,1.0,right,2,perimeter,standard,blocked,,12.0,IMG_2680.MOV,00:18
5_P0021,5,usa_academy,air_force,ODP Academy,College,,,,turnover,steal/interception,12.0,,,,,,,,3,,,,,,IMG_2681.MOV,00:17
5_P0022,5,usa_academy,air_force,ODP Academy,College,,,,turnover,steal/interception,12.0,,,,,,,,5,,,,,,IMG_2685.MOV,00:32
5_P0023,5,usa_academy,air_force,ODP Academy,College,,,,shot,,,,0.5,0.4,1.0,,0.0,center,5,perimeter,skip,goal,,5.0,IMG_2687.MOV,00:26
6_P0001,6,carlsbad,ca_1,CA Club,CA Club,1.0,,,shot,,,,0.6,0.3333333333333333,0.0,,1.0,right,0,broken play,skip,blocked (GK),,14.0,IMG_4559.MOV,00:52
6_P0002,6,carlsbad,ca_1,CA Club,CA Club,,,,turnover,steal/interception,9.0,,,,,,,,3,,,,,,IMG_4560.MOV,00:17
6_P0003,6,carlsbad,ca_1,CA Club,CA Club,,,,shot,,,,0.4,0.4666666666666667,1.0,,0.0,center,2,perimeter,standard,blocked (GK),,8.0,IMG_4561.MOV,00:54
6_P0004,6,carlsbad,ca_1,CA Club,CA Club,,,,shot,,,,0.7,0.1333333333333333,1.0,,0.5,right,7,man-up (6v5),skip,goal,,8.0,IMG_4564.MOV,00:50
6_P0005,6,carlsbad,ca_1,CA Club,CA Club,,,,shot,,,,0.6,0.1333333333333333,1.0,,0.5,center,5,set,standard,blocked (GK),,8.0,IMG_4566.MOV,00:34
6_P0006,6,carlsbad,ca_1,CA Club,CA Club,,,,shot,,,,0.5,0.4666666666666667,1.0,,1.0,center,6,perimeter,skip,post/bar,,8.0,IMG_4567.MOV,00:35
6_P0007,6,carlsbad,ca_1,CA Club,CA Club,,,,turnover,steal/interception,15.0,,,,,,,,1,,,,,,IMG_4567.MOV,00:44
6_P0008,6,carlsbad,ca_1,CA Club,CA Club,,,,turnover,steal/interception,11.0,,,,,,,,3,,,,,,IMG_4570_1.MOV,00:18
6_P0009,6,carlsbad,ca_1,CA Club,CA Club,,,,shot,,,,0.5,0.2,1.0,,0.5,center,4,broken play,skip,goal,,10.0,IMG_4571.MOV,00:36
6_P0010,6,carlsbad,ca_1,CA Club,CA Club,,,,shot,,,,0.5,0.4,1.0,,1.0,center,2,perimeter,skip,blocked (GK),,15.0,IMG_4572.MOV,00:55
6_P0011,6,carlsbad,ca_1,CA Club,CA Club,,,,turnover,shot clock violation,11.0,,,,,,,,0,,,,,,IMG_4577.MOV,00:13
6_P0012,6,carlsbad,ca_1,CA Club,CA Club,,,,turnover,steal/interception,14.0,,,,,,,,1,,,,,,IMG_4579.MOV,00:09
6_P0013,6,carlsbad,ca_1,CA Club,CA Club,,,,shot,,,,0.6,0.6,1.0,,1.5,center,2,perimeter,skip,blocked (GK),,0.0,IMG_4581.MOV,00:30
6_P0014,6,carlsbad,ca_1,CA Club,CA Club,,,,turnover,bad pass / out of bounds,14.0,,,,,,,,4,,,,,,IMG_4583.MOV,00:29
6_P0015,6,carlsbad,ca_1,CA Club,CA Club,,,,turnover,ball under,9.0,,,,,,,,2,,,,,,IMG_4585.MOV,00:18
6_P0016,6,carlsbad,ca_1,CA Club,CA Club,,,,shot,,,,0.3,0.4,0.0,,0.5,left,2,perimeter,lob,blocked (GK),,12.0,IMG_4587.MOV,00:22
6_P0017,6,carlsbad,ca_1,CA Club,CA Club,,,,turnover,ball under,13.0,,,,,,,,1,,,,,,IMG_4587.MOV,00:54
6_P0018,6,carlsbad,ca_1,CA Club,CA Club,,,,shot,,,,0.5,0.2,1.0,,1.0,center,4,set,tip/deflection,missed,,10.0,IMG_4588.MOV,00:33
6_P0019,6,carlsbad,ca_1,CA Club,CA Club,,,,shot,,,,0.5,0.1333333333333333,1.0,,0.5,center,1,broken play,tip/deflection,goal,,11.0,IMG_4590.MOV,00:05
6_P0020,6,carlsbad,ca_1,CA Club,CA Club,,,,shot,,,,0.25,0.1333333333333333,1.0,,0.5,left,4,perimeter,standard,post/bar,,11.0,IMG_4592.MOV,00:21
6_P0021,6,carlsbad,ca_1,CA Club,CA Club,,,,shot,,,,0.3,0.3333333333333333,1.0,,1.0,left,0,counter,standard,blocked (GK),,11.0,IMG_4594.MOV,00:11
6_P0022,6,carlsbad,ca_1,CA Club,CA Club,,,,turnover,bad pass / out of bounds,15.0,,,,,,,,2,,,,,,IMG_4596.MOV,00:10
6_P0023,6,carlsbad,ca_1,CA Club,CA Club,,,,turnover,bad pass / out of bounds,15.0,,,,,,,,4,,,,,,IMG_4597.MOV,00:26
6_P0024,6,carlsbad,ca_1,CA Club,CA Club,,,,shot,,,,0.6,0.2666666666666666,1.0,,1.5,right,4,set,backhand,missed,,10.0,IMG_4600.MOV,00:18
6_P0025,6,carlsbad,ca_1,CA Club,CA Club,,,,shot,,,,0.6,0.4,1.0,,1.0,right,5,perimeter,standard,blocked (GK),,15.0,IMG_4611.MOV,00:23
6_P0026,6,carlsbad,ca_1,CA Club,CA Club,,,,turnover,steal/interception,10.0,,,,,,,,4,,,,,,IMG_4613.MOV,00:25
