possession_id,game_id,our_team_name,opponent_team_name,our_team_level,opponent_team_level,period,time_remaining,man_state,event_type,turnover_type,turnover_player_number,drawn_by_player_number,shooter_x,shooter_y,defender_count,goalie_present,goalie_distance_m,goalie_lateral,possession_passes,attack_type,shot_type,shot_result,shooter_handedness,player_number,video_file,video_timestamp_mmss,x,y,outcome,handed,distance_m,angle_deg,angle_deg_signed,video_timecode,source_video_id
3_P0017,3,west_sub,new_trier,IL Club,IL Club,4,06:09,6v6,shot,,,,0.65,0.06666666667,1,true,0.5,center,3,broken play,tip/deflection,field block,right,4,IMG_0196.MOV,00:18,0.65,0.06666666667,field block,right,3.162,71.57,71.57,18.0,IMG_0196.MOV
3_P0018,3,west_sub,new_trier,IL Club,IL Club,4,04:44,6v6,shot,,,,0.5,0.1333333333,1,true,0.5,left,3,set,tip/deflection,blocked (GK),left,2,IMG_0200.MOV,00:19,0.5,0.1333333333,blocked (GK),left,2.0,0.0,0.0,19.0,IMG_0200.MOV
3_P0019,3,west_sub,new_trier,IL Club,IL Club,4,04:04,6v6,turnover,steal/interception,6,,,,,nan,,,1,nan,,,,,IMG_0202.MOV,00:11,,,,,,,,11.0,IMG_0202.MOV
3_P0020,3,west_sub,new_trier,IL Club,IL Club,4,03:23,6v6,shot,,,,0.5,0.4666666667,1,true,1.5,center,1,perimeter,standard,blocked (GK),right,4,IMG_0204.MOV,00:10,0.5,0.4666666667,blocked (GK),right,7.0,0.0,0.0,10.0,IMG_0204.MOV
3_P0021,3,west_sub,new_trier,IL Club,IL Club,4,03:00,6v6,turnover,procedural violation (2m/6m/restart),5,,,,,nan,,,8,nan,,,,,IMG_0205.MOV,00:26,,,,,,,,26.0,IMG_0205.MOV
3_P0022,3,west_sub,new_trier,IL Club,IL Club,4,02:13,6v6,turnover,shot clock violation,,,,,,nan,,,6,nan,,,,,IMG_0207.MOV,00:28,,,,,,,,28.0,IMG_0207.MOV
3_P0023,3,west_sub,new_trier,IL Club,IL Club,4,01:08,6v6,turnover,shot clock violation,,,,,,nan,,,0,nan,,,,,IMG_0209.MOV,00:16,,,,,,,,16.0,IMG_0209.MOV
4_P0001,4,usa_academy,brown,ODP Academy,College,1,,6v6,shot,,,,0.5,0.4,1,true,0.5,center,3,perimeter,skip,blocked (GK),right,2,IMG_2598.MOV,00:24,0.5,0.4,blocked (GK),right,6.0,0.0,0.0,24.0,IMG_2598.MOV
4_P0002,4,usa_academy,brown,ODP Academy,College,1,,6v6,shot,,,,0.55,0.2,2,true,0.5,right,4,set,skip,goal,right,10,IMG_2600.MOV,00:16,0.55,0.2,goal,right,3.162,18.43,18.43,16.0,IMG_2600.MOV
4_P0003,4,usa_academy,brown,ODP Academy,College,1,,6v6,turnover,steal/interception,10,,,,,nan,,,8,nan,,,,,IMG_2602.MOV,00:25,,,,,,,,25.0,IMG_2602.MOV
4_P0004,4,usa_academy,brown,ODP Academy,College,1,,6v5,shot,,,,0.4,0.4,1,true,0.5,left,3,man-up,skip,field block,right,2,IMG_2604.MOV,00:34,0.4,0.4,field block,right,6.325,-18.43,-18.43,34.0,IMG_2604.MOV
4_P0005,4,usa_academy,brown,ODP Academy,College,1,,6v6,shot,,,,0.3,0.2666666667,2,true,0.5,left,8,perimeter,skip,field block,right,2,IMG_2606.MOV,00:21,0.3,0.2666666667,field block,right,5.657,-45.0,-45.0,21.0,IMG_2606.MOV
4_P0006,4,usa_academy,brown,ODP Academy,College,1,,6v6,shot,,,,0.6,0.5333333333,1,true,0.5,right,4,perimeter,standard,field block,right,3,IMG_2608.MOV,00:31,0.6,0.5333333333,field block,right,8.246,14.04,14.04,31.0,IMG_2608.MOV
4_P0007,4,usa_academy,brown,ODP Academy,College,2,,6v6,turnover,steal/interception,8,,,,,nan,,,9,nan,,,,,IMG_2610.MOV,00:35,,,,,,,,35.0,IMG_2610.MOV
4_P0008,4,usa_academy,brown,ODP Academy,College,2,,6v6,shot,,,,0.5,0.2666666667,2,true,0.5,center,2,set,standard,post/bar,right,10,IMG_2612.MOV,00:16,0.5,0.2666666667,post/bar,right,4.0,0.0,0.0,16.0,IMG_2612.MOV
