possession_id,game_id,our_team_name,opponent_team_name,period,time_remaining,seconds_remaining,clock_bin,our_team_level,opponent_team_level,man_state,attack_type,event_type,possession_outcome_simple,possession_outcome_detail,is_shot,is_turnover,is_ejection_drawn,is_5m_drawn,is_man_up,empty_net,is_heave,is_long_range,defender_count,defender_count_bin,goalie_distance_m,goalie_lateral,shooter_x,shooter_y,distance_m,angle_deg,abs_angle,angle_x_distance,distance_bin,angle_bin,dist_x_manup,dist_x_defbin,poss_idx_in_game,prior_poss_before,prior_shots_before,prior_goals_before,prior_shot_rate_in_game,prior_goal_rate_in_game,last3_shots_before,last3_goals_before,last3_goal_rate_in_game,shot_type,shot_result,shooter_handedness,player_number,possession_passes,video_file,video_timestamp_mmss,sample_weight
10_P0005,10,carlsbad,ca_3,,nan,,,CA Club,CA Club,6v6,counter,shot,goal,goal,True,False,False,False,False,False,False,False,0.0,def0,2.0,center,0.500000,0.200000,3.0,0.0,0.0,0.0,0-5,0-15,0-5|MU0,0-5|def0,5,4,4.0,3.0,0.7142857142857143,0.5714285714285714,3.0,3.0,0.6666666666666666,standard,goal,right,11.0,1.0,IMG_5056.MOV,00:21,0.7
10_P0006,10,carlsbad,ca_3,,nan,,,CA Club,CA Club,6v6,counter,shot,shot_no_goal,blocked (GK),True,False,False,False,False,False,False,False,0.0,def0,2.0,left,0.450000,0.266667,4.123,-14.04,14.04,57.886919999999996,0-5,0-15,0-5|MU0,0-5|def0,6,5,5.0,4.0,0.75,0.625,3.0,3.0,0.6666666666666666,standard,blocked (GK),right,11.0,0.0,IMG_5057.MOV,00:23,0.7
10_P0007,10,carlsbad,ca_3,,nan,,,CA Club,CA Club,6v6,perimeter,shot,goal,goal,True,False,False,False,False,False,False,False,1.0,def1,0.5,center,0.500000,0.400000,6.0,0.0,0.0,0.0,5-8,0-15,5-8|MU0,5-8|def1,7,6,6.0,4.0,0.7777777777777778,0.5555555555555556,3.0,2.0,0.5,standard,goal,right,8.0,5.0,IMG_5059.MOV,00:33,0.7
10_P0008,10,carlsbad,ca_3,,nan,,,CA Club,CA Club,6v6,counter,shot,goal,goal,True,False,False,False,False,False,False,False,0.0,def0,0.5,center,0.350000,0.200000,4.243,-45.0,45.0,190.935,0-5,45-90,0-5|MU0,0-5|def0,8,7,7.0,5.0,0.8,0.6,3.0,2.0,0.5,standard,goal,right,11.0,1.0,IMG_5060.MOV,00:32,0.7
10_P0009,10,carlsbad,ca_3,,nan,,,CA Club,CA Club,6v5,man-up,shot,shot_no_goal,post/bar,True,False,False,False,True,False,False,False,1.0,def1,0.5,right,0.750000,0.133333,5.385,68.2,68.2,367.257,5-8,45-90,5-8|MU1,5-8|def1,9,8,8.0,6.0,0.8181818181818182,0.6363636363636364,3.0,2.0,0.5,standard,post/bar,right,5.0,8.0,IMG_5063.MOV,00:34,0.7
10_P0010,10,carlsbad,ca_3,,nan,,,CA Club,CA Club,6v5,man-up,shot,goal,goal,True,False,False,False,True,False,False,False,2.0,def2p,0.5,left,0.650000,0.266667,5.0,36.87,36.87,184.35,5-8,30-45,5-8|MU1,5-8|def2p,10,9,9.0,6.0,0.8333333333333334,0.5833333333333334,3.0,2.0,0.5,skip,goal,right,10.0,2.0,IMG_5063.MOV,00:39,0.7
10_P0011,10,carlsbad,ca_3,,nan,,,CA Club,CA Club,6v6,perimeter,shot,shot_no_goal,post/bar,True,False,False,False,False,False,False,False,1.0,def1,0.5,left,0.300000,0.133333,4.472,-63.44,63.44,283.70368,0-5,45-90,0-5|MU0,0-5|def1,11,10,10.0,7.0,0.8461538461538461,0.6153846153846154,3.0,2.0,0.5,standard,post/bar,right,9.0,5.0,IMG_5065.MOV,00:31,0.7
10_P0012,10,carlsbad,ca_3,,nan,,,CA Club,CA Club,6v6,5m penalty,shot,shot_no_goal,blocked (GK),True,False,False,False,False,False,False,False,0.0,def0,0.0,center,0.500000,0.333333,5.0,0.0,0.0,0.0,5-8,0-15,5-8|MU0,5-8|def0,12,11,11.0,7.0,0.8571428571428571,0.5714285714285714,3.0,1.0,0.3333333333333333,skip,blocked (GK),right,8.0,0.0,IMG_5066.MOV,00:01,0.7
10_P0013,10,carlsbad,ca_3,,nan,,,CA Club,CA Club,6v6,broken play,shot,goal,goal,True,False,False,False,False,False,False,False,1.0,def1,0.5,left,0.450000,0.266667,4.123,-14.04,14.04,57.886919999999996,0-5,0-15,0-5|MU0,0-5|def1,13,12,12.0,7.0,0.8666666666666667,0.5333333333333333,3.0,1.0,0.3333333333333333,standard,goal,right,10.0,2.0,IMG_5069.MOV,00:15,0.7
10_P0014,10,carlsbad,ca_3,,nan,,,CA Club,CA Club,6v6,perimeter,shot,goal,goal,True,False,False,False,False,False,False,False,1.0,def1,1.0,right,0.600000,0.400000,6.325,18.43,18.43,116.56975,5-8,15-30,5-8|MU0,5-8|def1,14,13,13.0,8.0,0.875,0.5625,3.0,1.0,0.3333333333333333,standard,goal,right,8.0,5.0,IMG_5071.MOV,00:27,0.7
10_P0015,10,carlsbad,ca_3,,nan,,,CA Club,CA Club,6v5,man-up,shot,shot_no_goal,missed,True,False,False,False,True,False,False,False,1.0,def1,1.0,center,0.500000,0.400000,6.0,0.0,0.0,0.0,5-8,0-15,5-8|MU1,5-8|def1,15,14,14.0,9.0,0.8823529411764706,0.5882352941176471,3.0,2.0,0.5,standard,missed,right,12.0,10.0,IMG_5074.MOV,00:56,0.7
10_P0016,10,carlsbad,ca_3,,nan,,,CA Club,CA Club,6v6,counter,shot,shot_no_goal,field block,True,False,False,False,False,False,False,False,1.0,def1,1.5,right,0.600000,0.200000,3.606,33.69,33.69,121.48613999999999,0-5,30-45,0-5|MU0,0-5|def1,16,15,15.0,9.0,0.8888888888888888,0.5555555555555556,3.0,2.0,0.5,lob,field block,right,9.0,1.0,IMG_5078.MOV,00:37,0.7
10_P0017,10,carlsbad,ca_3,,nan,,,CA Club,CA Club,6v6,broken play,shot,shot_no_goal,field block,True,False,False,False,False,False,False,False,1.0,def1,0.5,left,0.350000,0.266667,5.0,-36.87,36.87,184.35,5-8,30-45,5-8|MU0,5-8|def1,17,16,16.0,9.0,0.8947368421052632,0.5263157894736842,3.0,1.0,0.3333333333333333,standard,field block,right,11.0,6.0,IMG_5081.MOV,00:34,0.7
10_P0018,10,carlsbad,ca_3,,nan,,,CA Club,CA Club,6v6,counter,shot,goal,goal,True,False,False,False,False,False,False,False,1.0,def1,1.0,left,0.400000,0.133333,2.828,-45.0,45.0,127.25999999999999,0-5,45-90,0-5|MU0,0-5|def1,18,17,17.0,9.0,0.9,0.5,3.0,0.0,0.16666666666666666,standard,goal,right,5.0,1.0,IMG_5083.MOV,00:07,0.7
10_P0019,10,carlsbad,ca_3,,nan,,,CA Club,CA Club,6v6,5m penalty,shot,goal,goal,True,False,False,False,False,False,False,False,0.0,def0,1.0,center,0.500000,0.333333,5.0,0.0,0.0,0.0,5-8,0-15,5-8|MU0,5-8|def0,19,18,18.0,10.0,0.9047619047619048,0.5238095238095238,3.0,1.0,0.3333333333333333,standard,goal,right,11.0,0.0,IMG_5086.MOV,00:04,0.7
